เดือน,ประเภท,ยี่ห้อ,แบบรถ,จำนวน,ประเภทรถ (ต้นทาง)
2025-04,RY1,AION,AION V 602 LUXURY,398,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AION,AION Y PLUS,175,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AION,HYPTEC HT 620 LUXURY,14,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AION,HYPTEC HT 620 PREMIUM,161,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,ALPINE,A110 S,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,ASTON MARTIN,VANTAGE COUPE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,A4 40 TFSI S line IB,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,A4 AV 45 TFSI q S line BE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,A4 AV 45 TFSI q S line IB,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,A5 CP 40 TFSI S line eo,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,A5 SB 40 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,A5 SB 40 TFSI S line eo,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,A5 SB 45 TFSI q S line eo,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,e-tron 55 q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,e-tron GT quattro PF,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,Q3 35 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,Q3 40 TFSI q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,Q3 SB 40 TFSI q S line BE,6,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,Q5 55 TFSI e q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,Q5 55 TFSI e q S line BE,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,Q5 SB 55 TFSIe q S lineBE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,Q7 60 TFSI e q S line BE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,Q8 60 TFSI e q S line BE,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,Q8 e-tron 50 q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-04,RY1,AUDI,Q8 etron 55 q BE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
