เดือน,ประเภท,ยี่ห้อ,แบบรถ,จำนวน,ประเภทรถ (ต้นทาง)
2023-09,RY1,AION,AION Y PLUS,31,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,ASTON MARTIN,VANTAGE ROADSTER,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,A3 SB 35 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,A4 AV 45 TFSI q S line IB,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,A5 CP 40 TFSI S line,11,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,A5 CP 45 TFSI q S line BE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,A5 SB 40 TFSI S line,25,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,A5 SB 45 TFSI q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,A6 40 TFSI S line,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,A7 SB 45 TFSI,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,e-tron GT quattro PF,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,Q3 35 TFSI S line,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,Q3 40 TFSI q S line BE,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,Q3 SB 40 TFSI q S line BE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,Q5 55 TFSI e q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,Q5 SB 55 TFSIe q S lineBE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,Q8 60 TFSI e q S line BE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,RS 4 AV q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,RS 5 Coupe quattro,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,RS 7 SB q performance,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,RS Q3 Sportback quattro,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,TT Coupe 45 TFSI q S line,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,TT Coupe Final Icon Black,8,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,AUDI,TT RS Coupe q,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-09,RY1,BENTLEY,BENTAYGA AZURE HYBRID,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
