เดือน,ประเภท,ยี่ห้อ,แบบรถ,จำนวน,ประเภทรถ (ต้นทาง)
2025-07,RY1,AION,AION ES,51,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AION,AION UT 500 PREMIUM,40,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AION,AION V 602 LUXURY,170,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AION,AION Y PLUS,178,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AION,HYPTEC HT 620 LUXURY,7,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AION,HYPTEC HT 620 PREMIUM,88,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,ASTON MARTIN,DB12 COUPE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,ASTON MARTIN,DB12 V8 COUPE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,ASTON MARTIN,VANTAGE COUPE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,A4 40 TFSI S line IB,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,A4 AV 45 TFSI q S line IB,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,A5 CP 40 TFSI S line eo,8,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,A5 CP 45 TFSI q S line BE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,A5 CP 45 TFSI q S line eo,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,A5 SB 40 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,A5 SB 40 TFSI S line eo,7,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,A5 SB 45 TFSI q S line eo,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,Q3 35 TFSI S line,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,Q3 40 TFSI q S line BE,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,Q3 SB 40 TFSI q S line BE,7,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,Q5 55 TFSI e q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,Q5 55 TFSI e q S line BE,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,Q5 SB 55 TFSIe q S lineBE,7,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,Q7 45 TDI q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,Q7 60 TFSI e q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,Q8 60 TFSI e q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,Q8 etron 55 q BE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,Q8 SB e-tron 50 q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,Q8 SB etron 55 q Sline BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,Q8 TFSI e q S line edition one,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,RS 5 Coupe q competition,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,RS 5 Coupe quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,RS 6 Avant q performance,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,RS 6 Avant quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,RS Q3 SB edition 10 years,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,TT Coupe 45 TFSI q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,TT Coupe Final Icon Black,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AUDI,TT RD 45 TFSI q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AVATR,AVATR 11 LONG RANGE,71,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-07,RY1,AVATR,AVATR 11 STANDARD RANGE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
