เดือน,ประเภท,ยี่ห้อ,แบบรถ,จำนวน,ประเภทรถ (ต้นทาง)
2022-04,RY1,ASTON MARTIN,DB11 V8 COUPE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,ASTON MARTIN,V8 VANTAGE S COUPE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,A5 CP 40 TFSI S line,6,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,A5 CP 45 TFSI q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,A5 SB 40 TFSI S line,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,A5 SB 45 TFSI q S line BE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,A6 40 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,A6 AV 45 TFSI q S line BE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,A7 SB 45 TFSI,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,A7 SB 45 TFSI q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,e-tron 55 q,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,e-tron GT quattro PF,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,Q3 35 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,Q3 SB 35 TFSI S line,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,Q3 SB 40 TFSI q S line BE,8,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,Q5 45 TFSI q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,Q7 45 TDI q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,Q7 45 TDI q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,Q8 55 TFSI q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,RS 4 AV q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,RS 5 Coupe quattro,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,RS 6 Avant quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,RS Q3 Sportback quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,RS Q8 q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,TT Coupe 45 TFSI q S line,17,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,TT RD 45 TFSI q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,AUDI,TT RS Coupe q,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BENTLEY,BENTAYGA HYBRID,9,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BENTLEY,CONTINENTAL GT COUPE V8,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BENTLEY,CONTINENTAL GT V8 CONV.,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,218i Gran Coupe RHD,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,220i Gran Coupe M Sport,78,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,220i Gran Coupe Sport,17,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,320d GT Luxury,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,320d GT Sport,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,320d Limousine RHD,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,320d M Sport,98,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,320d Sport,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,320Li Limousine RHD,18,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,330e M Sport,120,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,330Li Limousine RHD,18,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,430i Coupe RHD,15,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,520d M Sport,92,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,520d Sport,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,530e Elite,31,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,530e Highline,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,530e Luxury,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,530e M Sport,60,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,630d Gran Turismo RHD,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,630i Gran Turismo RHD,16,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,730Ld M Sport,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,740Le xDrive M Sport,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,740Li Limousine RHD,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,745Le xDrive M Sport,7,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,ALPINA D3 S TOURING,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,iX3 M Sport RHD,17,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,M340i xDrive,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,M4 Coupe RHD,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,M4 GTS Coupe RHD,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,M5 Limousine RHD,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X1 sDrive18d xLine,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X1 sDrive18i,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X1 sDrive20d M Sport,98,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X1 sDrive20d xLine,68,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X3 xDrive20d M Sport,53,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X3 xDrive20d RHD,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X3 xDrive20d xLine,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X3 xDrive30e M Sport,34,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X3 xDrive30e xLine,9,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X4 xDrive20d M Sport,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X4 xDrive20d RHD,20,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X5 sDrive25d Pure Experie,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X5 xDrive30d M Sport,20,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X5 xDrive30d RHD,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X5 xDrive30d xLine,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X5 xDrive45e M Sport,30,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X7 xDrive30d M Sport,12,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,X7 xDrive40d M Sport,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,Z4 M40i Roadster RHD,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BMW,Z4 sDrive30i RHD,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BYD,E6,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,BYD,M3,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,CHEVROLET,CAPTIVA,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,CHEVROLET,CORVETTE RHD COUPE 3LT,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,CHEVROLET,CRUZE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,DAIHATSU,TAFT G TURBO,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,DFSK,GLORY 580 I-AUTO,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,FERRARI,488 GTB,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,FERRARI,488 PISTA,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,FERRARI,F8 SPIDER,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,FERRARI,F8 TRIBUTO,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,FOMM,FOMM ONE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,FORD,EVEREST,449,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,FORD,Ford Focus,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,FORD,FORD EVEREST zFAE9GD,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-04,RY1,FORD,FORD RANGER,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
