เดือน,ประเภท,ยี่ห้อ,แบบรถ,จำนวน,ประเภทรถ (ต้นทาง)
2024-03,RY1,AION,AION ES,12,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AION,AION Y PLUS,476,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,ASTON MARTIN,DBS 770 ULTIMATE  VOLANTE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,A3 SB 35 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,A4 40 TFSI S line IB,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,A4 AV 45 TFSI q S line IB,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,A5 CP 40 TFSI S line,6,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,A5 CP 45 TFSI q S line BE,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,A5 SB 40 TFSI S line,11,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,A5 SB 45 TFSI q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,A7 SB 55 TFSIe q Sline,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,A7 SB 55 TFSIe q Sline BE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,e-tron GT quattro PF,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,Q3 35 TFSI S line,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,Q3 40 TFSI q S line BE,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,Q3 SB 40 TFSI q S line BE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,Q5 55 TFSI e q S line,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,Q5 SB 55 TFSIe q S lineBE,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,Q7 60 TFSI e q S line BE,6,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2024-03,RY1,AUDI,Q8 50 TDI QUATTRO,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
