เดือน,ประเภท,ยี่ห้อ,แบบรถ,จำนวน,ประเภทรถ (ต้นทาง)
2023-02,RY1,ASTON MARTIN,VANTAGE COUPE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,A5 CP 40 TFSI S line,20,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,A5 CP 45 TFSI q S line BE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,A5 SB 40 TFSI S line,24,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,A5 SB 45 TFSI q S line BE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,A6 40 TFSI S line,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,A8 L 55 TFSI q Pg S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,e-tron GT quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,e-tron GT quattro PF,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,e-tron SB 55 q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,Q3 35 TFSI S line,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,Q3 40 TFSI q S line BE,8,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,Q3 SB 35 TFSI S line,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,Q3 SB 40 TFSI q S line BE,10,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,Q5 40 TDI q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,Q5 55 TFSI e q S line,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,Q5 55 TFSI e q S line BE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,Q7 45 TDI q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,Q7 60 TFSI e q S line BE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,Q8 60 TFSI e q S line BE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,RS 3 Sportback quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,RS 4 AV q,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,RS 5 Coupe quattro,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,RS 6 Avant quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,RS Q3 Sportback quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,RS Q8 TFSI QUATTRO,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,S3 Sportback quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,TT Coupe 45 TFSI q S line,26,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,TT RD 45 TFSI q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,AUDI,TT RS Coupe q,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-02,RY1,BENTLEY,BENTAYGA HYBRID,10,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
