เดือน,ประเภท,ยี่ห้อ,แบบรถ,จำนวน,ประเภทรถ (ต้นทาง)
2022-09,RY1,AIWAYS,U5 LITE SAMPLE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AIWAYS,U5 PRIME WITH,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,ASTON MARTIN,VANTAGE COUPE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,A3 SB 35 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,A4 AV 45 TFSI q S line BE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,A5 CP 40 TFSI S line,15,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,A5 CP 45 TFSI q S line BE,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,A5 SB 40 TFSI S line,12,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,A5 SB 45 TFSI q S line BE,7,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,A6 40 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,A7 SB 45 TFSI q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,e-tron 55 q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,e-tron GT quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,e-tron GT quattro PF,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,Q3 35 TFSI,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,Q3 40 TFSI q S line BE,8,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,Q3 SB 35 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,Q3 SB 40 TFSI q S line BE,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,Q7 45 TDI q,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,Q7 45 TDI q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,Q8 50 TDI QUATTRO,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,RS 4 AV q,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2022-09,RY1,AUDI,RS 5 Coupe quattro,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
