เดือน,ประเภท,ยี่ห้อ,แบบรถ,จำนวน,ประเภทรถ (ต้นทาง)
2025-01,RY1,AION,AION ES,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AION,AION V 602 LUXURY,268,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AION,AION Y PLUS,359,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AION,HYPTEC HT 620 LUXURY,69,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AION,HYPTEC HT 620 PREMIUM,337,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,A3 SB 35 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,A5 CP 40 TFSI S line,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,A5 CP 40 TFSI S line eo,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,A5 SB 40 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,A5 SB 40 TFSI S line eo,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,A5 SB 45 TFSI q S line eo,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,A6 40 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,A8L 60 TFSIe q Pstg Sline,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,e-tron GT quattro PF,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,e-tron SB 55 q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,Q3 35 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,Q3 40 TFSI q S line BE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,Q3 SB 40 TFSI q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,Q5 55 TFSI e q S line,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,Q5 55 TFSI e q S line BE,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,Q5 SB 55 TFSIe q S lineBE,7,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,Q7 60 TFSI e q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,Q8 55 TFSI q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,Q8 60 TFSI e q S line BE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,Q8 etron 55 q BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,Q8 SB e-tron 50 q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,Q8 SB etron 55 q Sline BE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,RS 4 AV q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,RS 5 Coupe quattro,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,RS 6 Avant q performance,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,RS Q8 q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,TT Coupe 45 TFSI q S line,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,TT Coupe Final Icon Black,6,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,TT RS Coupe q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AUDI,TT RS Heritage Edition,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AVATR,AVATR 11 LONG RANGE,66,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,AVATR,AVATR 11 STANDARD RANGE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BENTLEY,BENTAYGA HYBRID,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BENTLEY,CONTINENTAL GT V8,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BENTLEY,FLYING SPUR A HYBRID,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BENTLEY,FLYING SPUR AZURE HYBRID,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BENTLEY,FLYING SPUR HYBRID,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,220i Gran Coupe M Sport,81,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,320d GT Luxury,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,320d M Sport,152,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,320d Sport,23,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,320Li,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,320Li Limousine LWB RHD,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,330e M Sport,125,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,330i Limousine RHD,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,330Li,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,330Li Limousine RHD,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,420i Coupe RHD,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,430i Cabrio RHD,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,430i Coupe RHD,20,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,520d M Sport,13,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,520d M Sport Pro,61,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,530e Elite,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,530e Luxury,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,530e M Sport,16,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,530e M Sport Pro,60,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,630i Gran Turismo RHD,12,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,740d M Sport,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,750e xDrive M Sport,9,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,i4 eDrive35 Gran Coupe RH,10,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,i5 eDrive40 RHD,7,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,i5 M60 xDrive RHD,6,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,i7 xDrive60 Limousine RHD,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,iX xDrive40 RHD,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,iX xDrive50 RHD,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,iX2 xDrive30 RHD,6,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,iX3 M Sport RHD,47,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,M2 Coupe RHD MX,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,M240i xDrive Coupe RHD MX,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,M340i xDrive,12,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,M4 COMPETITION COUPE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,M760e xDrive,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,X1 sDrive18i,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,X1 sDrive20d M Sport,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,X1 sDrive20d xLine,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,X1 sDrive20i M Sport,126,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2025-01,RY1,BMW,X1 sDrive20i xLine,45,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
