เดือน,ประเภท,ยี่ห้อ,แบบรถ,จำนวน,ประเภทรถ (ต้นทาง)
2023-11,RY1,AION,AION Y PLUS,20,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,ASTON MARTIN,VANTAGE COUPE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,A3 SB 35 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,A4 AV 45 TFSI q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,A4 AV 45 TFSI q S line IB,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,A5 CP 40 TFSI S line,12,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,A5 CP 45 TFSI q S line BE,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,A5 SB 40 TFSI S line,9,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,A5 SB 45 TFSI q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,A6 40 TFSI S line,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,A7 SB 45 TFSI,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,e-tron GT quattro PF,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,Q3 35 TFSI S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,Q3 40 TFSI q S line BE,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,Q3 SB 40 TFSI q S line BE,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,Q5 55 TFSI e q S line BE,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,Q7 60 TFSI e q S line BE,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,Q8 55 TFSI q S line,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,Q8 60 TFSI e q S line BE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,Q8 etron 55 q BE,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,RS 4 AV q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,RS 5 Coupe quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,RS 6 Avant quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,RS e-tron GT quattro,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,RS Q8 q,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,RS Q8 VORSPRUNG,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,TT Coupe 45 TFSI q S line,8,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,TT Coupe Final Icon Black,4,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,TT RS Coupe q,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,AUDI,TT RS Heritage Edition,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BENTLEY,BENTAYGA HYBRID,3,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BENTLEY,FLYING SPUR AZURE HYBRID,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BENTLEY,FLYING SPUR HYBRID,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,220i Gran Coupe M Sport,76,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,320d GT Luxury,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,320d M Sport,107,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,320Li,5,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,320Li Limousine LWB RHD,17,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,320Li Limousine RHD,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,330e M Sport,78,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,330Li,11,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,330Li Limousine RHD,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,430i Cabrio RHD,6,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,430i Coupe RHD,23,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,520d M Sport,73,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,520d Sport,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,530e Elite,2,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,530e Luxury,20,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
2023-11,RY1,BMW,530e M Sport,45,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
