period,registration_type,brand,model,units
2026-04,*,TOYOTA,YARIS ATIV,5430
2026-04,*,TOYOTA,HILUX TRAVO,3108
2026-04,*,TOYOTA,YARIS CROSS,2928
2026-04,*,TOYOTA,Hilux Revo,2099
2026-04,*,TOYOTA,COROLLA CROSS,1202
2026-04,*,TOYOTA,Fortuner,1386
2026-04,*,TOYOTA,Commuter,562
2026-04,*,TOYOTA,HILUX CHAMP,561
2026-04,*,TOYOTA,Camry,310
2026-04,*,TOYOTA,Yaris,338
2026-04,*,TOYOTA,VELOZ,337
2026-04,*,TOYOTA,Corolla,115
2026-04,*,TOYOTA,HIACE MAJESTY,131
2026-04,*,TOYOTA,Innova,134
2026-04,*,TOYOTA,VELLFIRE HYBRID Z PREMIER,106
2026-04,*,TOYOTA,BZ4X,69
2026-04,*,TOYOTA,ALPHARD HYBRID Z 2WD,80
2026-04,*,TOYOTA,Hiace,41
2026-04,*,TOYOTA,ALPHARD,52
2026-04,*,TOYOTA,ALPHARD Z 2WD,20
2026-04,*,TOYOTA,ALPHARD HYBRID Z 2.5L,15
2026-04,*,TOYOTA,ALPHARD HYBRID X,15
2026-04,*,TOYOTA,ALPHARD HYBRID Z E-FOUR,17
2026-04,*,TOYOTA,VELLFIRE,13
2026-04,*,TOYOTA,VELLFIRE Z PREMIER HYBRID 2.5L,18
2026-04,*,TOYOTA,VELLFIRE 2.5 HYBRID Z PREMIER,8
2026-04,*,TOYOTA,ALPHARD HYBRID Z,7
2026-04,*,TOYOTA,ALPHARD 2.5 HYBRID Z,8
2026-04,*,TOYOTA,ALPHARD HYBRID EXECUTIVE,6
2026-04,*,TOYOTA,ALPHARD Z HYBRID 2.5L,4
2026-04,*,TOYOTA,LAND CRUISER 250 ZX,2
2026-04,*,TOYOTA,ALPHARD Z 2WD 2.5L,5
2026-04,*,TOYOTA,ALPHARD Z 2.5L,6
2026-04,*,TOYOTA,LAND CRUISER 70 AX,4
2026-04,*,TOYOTA,GR YARIS RZ HIGH PERFORMANCE,5
2026-04,*,TOYOTA,ALPHARD 2.5 HYBRID X,2
2026-04,*,TOYOTA,VOXY HYBRID S-Z,4
2026-04,*,TOYOTA,VELLFIRE Z PREMIER,4
2026-04,*,TOYOTA,LAND CRUISER 250 ZX FIRST,2
2026-04,*,TOYOTA,GR86 RC,1
2026-04,*,TOYOTA,ALPHARD 2.5 Z,3
2026-04,*,TOYOTA,VELLFIRE HYBRID EXECUTIVE,2
2026-04,*,TOYOTA,LAND CRUISER 300 ZX,1
2026-04,*,TOYOTA,ALPHARD HYBRID Z 2.5L E-FOUR,2
2026-04,*,TOYOTA,LAND CRUISER 250 VX,1
2026-04,*,TOYOTA,HARRIER HYBRID Z LEATHER,1
2026-04,*,TOYOTA,LAND CRUISER 250 ZX 2.8L,2
2026-04,*,TOYOTA,VELLFIRE Z PREMIER E-FOUR,1
2026-04,*,TOYOTA,LAND CRUISER 300 GR SPORT,1
2026-04,*,TOYOTA,LAND CRUISER 250 GX,3
2026-04,*,TOYOTA,ALPHARD X HYBRID 2.5L,2
2026-04,*,TOYOTA,NOAH HYBRID X 2WD,3
2026-04,*,TOYOTA,GR86 RZ,1
2026-04,*,TOYOTA,GR86 RZ 2WD,1
2026-04,*,TOYOTA,GR86 CUP CAR BASIC,1
2026-04,*,TOYOTA,GR SUPRA RZ 3.0,1
2026-04,*,TOYOTA,ALPHARD EXECUTIVE LOUNGE,2
2026-04,*,TOYOTA,GR SUPRA,1
2026-04,*,TOYOTA,VELLFIRE HYBRID Z 2.5L,2
2026-04,*,TOYOTA,VELLFIRE HYBRID Z E-FOUR,1
2026-04,*,TOYOTA,GR YARIS,1
2026-04,*,TOYOTA,ALPHARD 2.5S C PACKAGE,1
2026-04,*,TOYOTA,GR 86 RZ,1
2026-04,*,TOYOTA,ALPHARD SC PACKAGE 2.5L,1
2026-04,*,TOYOTA,Sienta,3
2026-04,*,TOYOTA,TR TRANSFORMER,1
2026-04,*,TOYOTA,ALPHARD S C PACKAGE,1
2026-04,*,TOYOTA,ALPHARD Z,1
2026-04,*,TOYOTA,GR YARIS RC AT,1
2026-04,*,TOYOTA,VELLFIRE HYBRID Z 2.5L E-FOUR,1
2026-04,*,TOYOTA,GR86,1
2026-04,*,TOYOTA,GR86 RZ 6MT,1
2026-04,*,TOYOTA,GR 86 RZ 2.4L,1
2026-04,*,TOYOTA,KUN51R-NKPSYT  A7,1
2026-04,*,TOYOTA,GR86 RZ 10th ANNIVERSARY,1
2026-04,*,TOYOTA,GR COROLLA RZ AT,1
2026-04,*,TOYOTA,GR YARIS RC 8AT,1
2026-04,*,TOYOTA,CROWN SPORT Z 2.5L,1
2026-04,*,TOYOTA,GR YARIS KALLE ROVANPERA,1
2026-04,*,TOYOTA,CROWN HYBRID SPORT Z,1
2026-04,*,TOYOTA,ALPHARD 2.5 HYBRID EXECUTIVE,1
2026-04,*,TOYOTA,CROWN ESTATE Z HYBRID E FOUR,1
2026-04,*,TOYOTA,GR YARIS OGIER EDITION 4WD,1
2026-04,*,TOYOTA,ALPHARD X HYBRID E-FOUR,1
2026-04,*,TOYOTA,ALPHARD 2.5 HYBRID SRC PACKAGE,1
2026-04,*,HONDA,HR-V,1838
2026-04,*,HONDA,CITY HATCHBACK,1468
2026-04,*,HONDA,CIVIC,962
2026-04,*,HONDA,CITY,770
2026-04,*,HONDA,CR-V,590
2026-04,*,HONDA,ACCORD,131
2026-04,*,HONDA,STEP WGN,52
2026-04,*,HONDA,e:N1,13
2026-04,*,HONDA,STEP WGN e-HEV SPADA PREMIUM,5
2026-04,*,HONDA,CIVIC TYPE R,6
2026-04,*,HONDA,e:N2,1
2026-04,*,HONDA,WR-V,1
2026-04,*,HONDA,MOBILIO'15,1
2026-04,*,HONDA,STEPWAGON e:HEV SPADA PREMIUM,1
2026-04,*,ISUZU,D-MAX,4499
2026-04,*,ISUZU,mu-X,991
2026-04,*,ISUZU,ไม่ระบุ,136
2026-04,*,BYD,BYD DOLPHIN (435KM-STD),343
2026-04,*,BYD,BYD ATTO3 (480KM-EXT),457
2026-04,*,BYD,BYD ATTO3 (410KM-PREMIUM),4
2026-04,*,BYD,BYD SEALION 6 DM-i PREMIUM,452
2026-04,*,BYD,BYD DOLPHIN (490KM-EXT),167
2026-04,*,BYD,BYD SEALION 7 RWD,255
2026-04,*,BYD,BYD ATTO 2 PREMIUM,1
2026-04,*,BYD,BYD SEALION 7 AWD,30
2026-04,*,BYD,BYD SEAL 5 DM-i PREMIUM,136
2026-04,*,BYD,BYD M6 EXTENDED,39
2026-04,*,BYD,BYD SEAL STD RWD,73
2026-04,*,BYD,BYD SEALION 6 DM-i DYNAMIC,35
2026-04,*,BYD,BYD SEAL 5 DM-i STANDARD,20
2026-04,*,BYD,BYD M6 DYNAMIC,20
2026-04,*,BYD,BYD SEAL 5 DM-i DYNAMIC,11
2026-04,*,MG,S5 EV,899
2026-04,*,MG,MG4 ELECTRIC,856
2026-04,*,MG,IM6,64
2026-04,*,MG,MG3,81
2026-04,*,MG,MG5,97
2026-04,*,MG,EP,5
2026-04,*,MG,MAXUS 7,55
2026-04,*,MG,ZS,28
2026-04,*,MG,MAXUS 9,14
2026-04,*,MG,HS PHEV,17
2026-04,*,MG,VS HEV,5
2026-04,*,MG,MG EXTENDER,8
2026-04,*,MG,CYBERSTER,2
2026-04,*,MG,ES,2
2026-04,*,MG,HS,3
2026-04,*,MG,NEW MG3,1
2026-04,*,JAECOO,5 EV Long Range Max,1057
2026-04,*,JAECOO,6 EV Long Range 2WD PRO,185
2026-04,*,JAECOO,6 EV Long Range 4WD,43
2026-04,*,JAECOO,7 SHS Max,68
2026-04,*,JAECOO,6T EV Long Range 4WD,34
2026-04,*,JAECOO,6 EV Long Range 2WD,3
2026-04,*,MITSUBISHI,XFORCE HEV,801
2026-04,*,MITSUBISHI,TRITON,502
2026-04,*,MITSUBISHI,XPANDER CROSS HEV,370
2026-04,*,MITSUBISHI,ATTRAGE,231
2026-04,*,MITSUBISHI,PAJERO SPORT,135
2026-04,*,MITSUBISHI,MIRAGE,113
2026-04,*,MITSUBISHI,XPANDER HEV,67
2026-04,*,MITSUBISHI,XPANDER,1
2026-04,*,MITSUBISHI,OUTLANDER PHEV,2
2026-04,*,AION,AION UT 420 STANDARD,393
2026-04,*,AION,AION V 602 LUXURY,294
2026-04,*,AION,AION UT 500 PREMIUM,88
2026-04,*,AION,HYPTEC HT 620 PREMIUM,113
2026-04,*,AION,AION Y PLUS,23
2026-04,*,AION,AION Y PLUS 490 PREMIUM,6
2026-04,*,AION,HYPTEC HT 620 LUXURY,5
2026-04,*,FORD,RANGER,564
2026-04,*,FORD,EVEREST,554
2026-04,*,FORD,RANGER RAPTOR,107
2026-04,*,FORD,RANGER SUPER DUTY,33
2026-04,*,FORD,RANGER SWB,1
2026-04,*,FORD,MUSTANG,1
2026-04,*,FORD,FORD EVEREST zFAE9BC,1
2026-04,*,GEELY,EX2,805
2026-04,*,GEELY,EX5,189
2026-04,*,GWM,GWM TANK 300,610
2026-04,*,GWM,GWM TANK 500,85
2026-04,*,GWM,H6 PLUG-IN HYBRID,4
2026-04,*,GWM,WEY G9 PLUG-IN HYBRID,13
2026-04,*,GWM,POER SAHAR,16
2026-04,*,GWM,H6 HYBRID,1
2026-04,*,DEEPAL,S05 MAX,468
2026-04,*,DEEPAL,S07,132
2026-04,*,DEEPAL,S05 REEV MAX,49
