period,registration_type,brand,model,units
2026-08,*,TOYOTA,YARIS ATIV,5820
2026-08,*,TOYOTA,HILUX TRAVO,3619
2026-08,*,TOYOTA,YARIS CROSS,2930
2026-08,*,TOYOTA,Hilux Revo,2560
2026-08,*,TOYOTA,COROLLA CROSS,1530
2026-08,*,TOYOTA,Fortuner,974
2026-08,*,TOYOTA,Commuter,479
2026-08,*,TOYOTA,HILUX CHAMP,561
2026-08,*,TOYOTA,Camry,388
2026-08,*,TOYOTA,Yaris,379
2026-08,*,TOYOTA,VELOZ,363
2026-08,*,TOYOTA,Corolla,155
2026-08,*,TOYOTA,LAND CRUISER FJ,418
2026-08,*,TOYOTA,HIACE MAJESTY,98
2026-08,*,TOYOTA,Innova,114
2026-08,*,TOYOTA,VELLFIRE HYBRID Z PREMIER,146
2026-08,*,TOYOTA,BZ4X,59
2026-08,*,TOYOTA,ALPHARD HYBRID Z 2WD,127
2026-08,*,TOYOTA,Hiace,32
2026-08,*,TOYOTA,ALPHARD,34
2026-08,*,TOYOTA,ALPHARD Z 2WD,14
2026-08,*,TOYOTA,ALPHARD HYBRID Z 2.5L,26
2026-08,*,TOYOTA,ALPHARD HYBRID X,17
2026-08,*,TOYOTA,ALPHARD HYBRID Z E-FOUR,17
2026-08,*,TOYOTA,VELLFIRE,8
2026-08,*,TOYOTA,VELLFIRE Z PREMIER HYBRID 2.5L,10
2026-08,*,TOYOTA,VELLFIRE 2.5 HYBRID Z PREMIER,13
2026-08,*,TOYOTA,ALPHARD HYBRID Z,4
2026-08,*,TOYOTA,ALPHARD 2.5 HYBRID Z,7
2026-08,*,TOYOTA,ALPHARD HYBRID EXECUTIVE,8
2026-08,*,TOYOTA,ALPHARD Z HYBRID 2.5L,12
2026-08,*,TOYOTA,LAND CRUISER 250 ZX,6
2026-08,*,TOYOTA,ALPHARD Z 2WD 2.5L,6
2026-08,*,TOYOTA,ALPHARD Z 2.5L,2
2026-08,*,TOYOTA,LAND CRUISER 70 AX,5
2026-08,*,TOYOTA,GR YARIS RZ HIGH PERFORMANCE,5
2026-08,*,TOYOTA,ALPHARD 2.5 HYBRID X,2
2026-08,*,TOYOTA,VELLFIRE Z PREMIER,5
2026-08,*,TOYOTA,LAND CRUISER 250 ZX FIRST,2
2026-08,*,TOYOTA,GR86 RC,5
2026-08,*,TOYOTA,ALPHARD 2.5 Z,1
2026-08,*,TOYOTA,LAND CRUISER 300 ZX,1
2026-08,*,TOYOTA,ALPHARD HYBRID Z 2.5L E-FOUR,4
2026-08,*,TOYOTA,LAND CRUISER 250 VX,3
2026-08,*,TOYOTA,CROWN CROSSOVER RS ADVANCED,4
2026-08,*,TOYOTA,ALPHARD HYBRID X E-FOUR,2
2026-08,*,TOYOTA,HARRIER HYBRID Z LEATHER,3
2026-08,*,TOYOTA,LAND CRUISER 250 ZX 2.8L,1
2026-08,*,TOYOTA,VELLFIRE Z PREMIER E-FOUR,1
2026-08,*,TOYOTA,GR YARIS RC,2
2026-08,*,TOYOTA,LAND CRUISER 300 GR SPORT,1
2026-08,*,TOYOTA,LAND CRUISER 250 GX,1
2026-08,*,TOYOTA,ALPHARD X HYBRID 2.5L,1
2026-08,*,TOYOTA,VOXY HYBRID SZ 1.8L,2
2026-08,*,TOYOTA,NOAH HYBRID X 2WD,1
2026-08,*,TOYOTA,GR86 RZ,1
2026-08,*,TOYOTA,GR86 RZ 2WD,3
2026-08,*,TOYOTA,LAND CRUISER 70 AX 2.8L 4WD,1
2026-08,*,TOYOTA,GR86 CUP CAR BASIC,2
2026-08,*,TOYOTA,ALPHARD HYBRID X 2.5L,1
2026-08,*,TOYOTA,GR SUPRA RZ 3.0,2
2026-08,*,TOYOTA,GR SUPRA,2
2026-08,*,TOYOTA,GR YARIS,2
2026-08,*,TOYOTA,ALPHARD SC PACKAGE 2.5L,1
2026-08,*,TOYOTA,GR COROLLA,1
2026-08,*,TOYOTA,GR COROLLA RZ,1
2026-08,*,TOYOTA,Sienta,1
2026-08,*,TOYOTA,VELLFIRE Z PREMIER  2.4L,2
2026-08,*,TOYOTA,VOXY SZ HYBRID 1.8L,1
2026-08,*,TOYOTA,ALPHARD S C PACKAGE,1
2026-08,*,TOYOTA,ALPHARD PHEV EXECUTIVE LOUNGE,1
2026-08,*,TOYOTA,GR SUPRA RZ,1
2026-08,*,TOYOTA,GR86 RZ YELLOW LIMITED,1
2026-08,*,TOYOTA,LAND CRUISER 300 ZX 3.3L,1
2026-08,*,TOYOTA,ALPHARD 2.5 HYBRID Z E-FOUR,1
2026-08,*,TOYOTA,GR YARIS RC AERO PERFORMANCE,1
2026-08,*,TOYOTA,GR86 RZ RIDGE GREEN LIMITED,2
2026-08,*,TOYOTA,LANDCRUISER 70 GXL DOUBLE CAB,1
2026-08,*,TOYOTA,YARIS CUP,1
2026-08,*,TOYOTA,2.5 HV AVN,1
2026-08,*,TOYOTA,LANDCRUISER LC300 GX,1
2026-08,*,TOYOTA,ALPHARD HYBRID GF PACKAGE,1
2026-08,*,TOYOTA,ALPHARD HYBRID G,1
2026-08,*,HONDA,HR-V,1896
2026-08,*,HONDA,CITY HATCHBACK,1019
2026-08,*,HONDA,CIVIC,579
2026-08,*,HONDA,CITY,1111
2026-08,*,HONDA,CR-V,619
2026-08,*,HONDA,ACCORD,153
2026-08,*,HONDA,STEP WGN,66
2026-08,*,HONDA,e:N1,12
2026-08,*,HONDA,STEP WGN e-HEV SPADA PREMIUM,16
2026-08,*,HONDA,CIVIC TYPE R,9
2026-08,*,HONDA,e:N2,8
2026-08,*,HONDA,WR-V,1
2026-08,*,HONDA,STEP WGN e-HEV AIR,1
2026-08,*,HONDA,ODYSSEY e-HEV ABSOLUTE EX,1
2026-08,*,HONDA,STEP WGN SPADA HYBRID PREMIUM,1
2026-08,*,HONDA,N-BOX JOY TURBO,1
2026-08,*,HONDA,MOBILIO'15,1
2026-08,*,HONDA,MOBILIO,1
2026-08,*,HONDA,BRIO AMAZE,1
2026-08,*,HONDA,PRELUDE HYBRID,1
2026-08,*,HONDA,N BOX JOY TURBO,1
2026-08,*,HONDA,JAZZ'16,1
2026-08,*,ISUZU,D-MAX,4126
2026-08,*,ISUZU,mu-X,777
2026-08,*,ISUZU,ไม่ระบุ,149
2026-08,*,BYD,BYD DOLPHIN (435KM-STD),323
2026-08,*,BYD,BYD ATTO3 (480KM-EXT),469
2026-08,*,BYD,BYD ATTO3 (410KM-PREMIUM),343
2026-08,*,BYD,BYD DOLPHIN (490KM-EXT),116
2026-08,*,BYD,BYD SEALION 7 RWD,57
2026-08,*,BYD,BYD ATTO 2 PREMIUM,169
2026-08,*,BYD,BYD SEALION 7 AWD,81
2026-08,*,BYD,BYD SEAL 5 DM-i PREMIUM,77
2026-08,*,BYD,BYD SEALION6 DM-i PREMIUM,395
2026-08,*,BYD,BYD M6 EXTENDED,65
2026-08,*,BYD,BYD ATTO 1 PREMIUM,115
2026-08,*,BYD,BYD SEALION5 DM-i PREMIUM,207
2026-08,*,BYD,BYD SEAL 5 DM-i STANDARD,45
2026-08,*,BYD,BYD M6 DYNAMIC,4
2026-08,*,BYD,BYD SEAL 6 PREMIUM,19
2026-08,*,BYD,BYD SEAL 5 DM-i DYNAMIC,11
2026-08,*,BYD,BYD ATTO 2 DYNAMIC,5
2026-08,*,BYD,BYD ATTO 1 DYNAMIC,15
2026-08,*,BYD,BYD SEALION5 DM-i DYNAMIC,45
2026-08,*,BYD,BYD SEALION6 DM-i DYNAMIC,27
2026-08,*,BYD,BYD SEAL 6 DYNAMIC,3
2026-08,*,MG,S5 EV,809
2026-08,*,MG,MG4 ELECTRIC,638
2026-08,*,MG,IM6,103
2026-08,*,MG,URBAN,1190
2026-08,*,MG,MG3,88
2026-08,*,MG,MG5,97
2026-08,*,MG,EP,1
2026-08,*,MG,IM5,164
2026-08,*,MG,MAXUS 7,76
2026-08,*,MG,ZS,53
2026-08,*,MG,MAXUS 9,29
2026-08,*,MG,HS PHEV,13
2026-08,*,MG,ZS EV,1
2026-08,*,MG,VS HEV,2
2026-08,*,MG,MG EXTENDER,2
2026-08,*,MG,CYBERSTER,5
2026-08,*,MG,HS,3
2026-08,*,MG,NEW MG3,1
2026-08,*,JAECOO,5 EV Long Range Max,41
2026-08,*,JAECOO,5 EV MAX+,2615
2026-08,*,JAECOO,6 EV Long Range 2WD PRO,565
2026-08,*,JAECOO,6 EV Long Range 4WD,68
2026-08,*,JAECOO,7 SHS Max,27
2026-08,*,JAECOO,6T EV Long Range 4WD,83
2026-08,*,JAECOO,6 EV 2WD MAX,32
2026-08,*,JAECOO,6 EV Long Range 2WD,3
2026-08,*,JAECOO,6T REEV 4WD ULTRA,30
2026-08,*,JAECOO,6T REEV 2WD MAX,1
2026-08,*,MITSUBISHI,XFORCE HEV,774
2026-08,*,MITSUBISHI,TRITON,427
2026-08,*,MITSUBISHI,XPANDER CROSS HEV,353
2026-08,*,MITSUBISHI,ATTRAGE,168
2026-08,*,MITSUBISHI,PAJERO SPORT,119
2026-08,*,MITSUBISHI,MIRAGE,183
2026-08,*,MITSUBISHI,XPANDER HEV,64
2026-08,*,MITSUBISHI,XPANDER,4
2026-08,*,MITSUBISHI,OUTLANDER PHEV,1
2026-08,*,AION,AION UT 420 STANDARD,375
2026-08,*,AION,AION V 602 LUXURY,418
2026-08,*,AION,AION UT 500 PREMIUM,254
2026-08,*,AION,HYPTEC HT 620 PREMIUM,186
2026-08,*,AION,AION Y PLUS,5
2026-08,*,AION,AION Y PLUS 490 PREMIUM,19
2026-08,*,AION,AION V 500 PREMIUM,141
2026-08,*,AION,AION ES,72
2026-08,*,AION,AION V 505 PREMIUM,75
2026-08,*,AION,AION Y PLUS 410 PREMIUM,103
2026-08,*,FORD,RANGER,526
2026-08,*,FORD,EVEREST,536
2026-08,*,FORD,RANGER RAPTOR,113
2026-08,*,FORD,RANGER SUPER DUTY,33
2026-08,*,FORD,RANGER SWB,7
2026-08,*,FORD,FORD RANGER iFCS9DH,1
2026-08,*,GEELY,EX2,1770
2026-08,*,GEELY,EX5,299
2026-08,*,GWM,GWM TANK 300,468
2026-08,*,GWM,ORA 5,2185
2026-08,*,GWM,GWM TANK 500,51
2026-08,*,GWM,H6 PLUG-IN HYBRID,73
2026-08,*,GWM,WEY G9 PLUG-IN HYBRID,62
2026-08,*,GWM,POER SAHAR,20
2026-08,*,GWM,H6 HYBRID,25
2026-08,*,GWM,POER,1
2026-08,*,DEEPAL,S05 MAX,730
2026-08,*,DEEPAL,S07,101
2026-08,*,DEEPAL,S05 REEV MAX,135
2026-08,*,DEEPAL,S05 MAX LONG RANGE,156
2026-08,*,DEEPAL,S07 L,3
2026-08,*,DEEPAL,E07 PLUS,3
2026-08,*,DEEPAL,E07 PERFORMANCE AWD,1
2026-08,*,DEEPAL,HUNTER K50,2
2026-08,*,TESLA,MODEL 3 STANDARD,1
2026-08,*,TESLA,Model Y L,120
2026-08,*,TESLA,MODEL 3,602
2026-08,*,TESLA,Model 3 Rear-Wheel Drive,1
2026-08,*,TESLA,Model Y Rear-Wheel Drive,5
2026-08,*,TESLA,Model 3 Long Range RWD,1
2026-08,*,TESLA,Model Y,77
2026-08,*,TESLA,MODEL 3 PERFORMANCE,9
2026-08,*,TESLA,MODEL 3 LONG RANGE,2
2026-08,*,BMW,X1 sDrive20i M Sport,112
2026-08,*,BMW,320d M Sport,65
2026-08,*,BMW,X3 20d xDrive M Sport Pro,62
2026-08,*,BMW,330e M Sport,92
2026-08,*,BMW,iX1 eDrive20L,56
2026-08,*,BMW,220 Gran Coupe M Sport Pr,35
2026-08,*,BMW,520d M Sport,26
2026-08,*,BMW,530e M Sport Pro,16
2026-08,*,BMW,520d M Sport Pro,8
2026-08,*,BMW,530e M Sport,31
2026-08,*,BMW,X5 xDrive30d M Sport,11
2026-08,*,BMW,X4 xDrive20d RHD,15
2026-08,*,BMW,X5 xDrive50e RHD,11
2026-08,*,BMW,i5 eDrive40 RHD,7
2026-08,*,BMW,320Li Limousine LWB RHD,15
2026-08,*,BMW,iX3 M Sport RHD,7
2026-08,*,BMW,X6 xDrive40i M Sport,7
2026-08,*,BMW,i5 eDrive40 M Sport,19
2026-08,*,BMW,220i Gran Coupe M Sport,6
2026-08,*,BMW,X1 sDrive20i xLine,5
2026-08,*,BMW,530e Inspiring,11
2026-08,*,BMW,M340i xDrive,5
2026-08,*,BMW,X7 xDrive40d M Sport,10
2026-08,*,BMW,i7 xDrive60 Limousine RHD,6
2026-08,*,BMW,X3 M50 xDrive,6
2026-08,*,BMW,X3 xDrive30e M Sport,7
2026-08,*,BMW,430i Coupe RHD,4
2026-08,*,BMW,XM 50e RHD,2
2026-08,*,BMW,i5 M60 xDrive RHD,3
2026-08,*,BMW,iX xDrive50 RHD,1
2026-08,*,BMW,430i Convertible RHD,3
2026-08,*,BMW,740d M Sport,3
2026-08,*,BMW,i7 eDrive50 RHD,1
2026-08,*,BMW,iX xDrive40 RHD,5
2026-08,*,BMW,Z4 sDrive30i RHD,3
2026-08,*,BMW,M440i xDrive Coupe RHD,1
2026-08,*,BMW,420i Coupe RHD,1
2026-08,*,BMW,M240i xDrive Coupe RHD MX,1
2026-08,*,BMW,i4 M50 Gran Coupe RHD,1
2026-08,*,BMW,330Li,1
2026-08,*,BMW,X3 xDrive20d M Sport,2
2026-08,*,BMW,M2 RHD,3
2026-08,*,BMW,X3 20d xDrive RHD,1
2026-08,*,BMW,iX2 xDrive30 RHD,1
2026-08,*,BMW,Z4 M40i RHD,1
2026-08,*,BMW,M760e xDrive,2
2026-08,*,BMW,iX3 50 xDrive,9
2026-08,*,BMW,630i Gran Turismo RHD,1
2026-08,*,BMW,Z4 M40i Roadster RHD,1
2026-08,*,BMW,M2 Coupe RHD MX,1
2026-08,*,BMW,730Ld M Sport,1
2026-08,*,CHERY,V23 2WD PLUS,505
